TIME	M_POS	M_VEL	M_VOLT	S_POS	S_VEL	S_VOLT	VOLT_REF
0	0	0	0	0	0	0	-0.783448
0.002	0	0	0	0	0	0	-0.783448
0.004	0	0	0	0	0	0	-0.783448
0.006	0	0	0	0	0	0	-0.783448
0.008	0	0	0	0	0	0	-0.783448
0.01	0	0	0	0	0	0	-0.783448
0.012	0	0	0	0	0	0	-0.783448
0.014	0	0	0	0	0	0	-0.783448
0.016	0	0	0	0	0	0	-0.783448
0.018	0	0	0	0	0	0	-0.783448
0.02	0	0	0	0	0	0	-0.783448
0.022	0	0	0	0	0	0	-0.783448
0.024	0	0	0	0	0	0	-0.783448
0.026	0	0	0	0	0	0	-0.783448
0.028	0	0	0	0	0	0	-0.783448
0.03	0	0	0	0	0	0	-0.783448
0.032	0	0	0	0	0	0	-0.783448
0.034	0	0	0	0	0	0	-0.783448
0.036	0	0	0	0	0	0	-0.783448
0.038	0	0	0	0	0	0	-0.783448
0.04	0	0	0	0	0	0	-0.783448
0.042	0	0	0	0	0	0	-0.783448
0.044	0	0	0	0	0	0	-0.783448
0.046	0	0	0	0	0	0	-0.783448
0.048	0	0	0	0	0	0	-0.783448
0.05	0	0	0	0	0	0	-0.783448
0.052	0	0	0	0	0	0	-0.783448
0.054	0	0	0	0	0	0	-0.783448
0.056	0	0	0	0	0	0	-0.783448
0.058	0	0	0	0	0	0	-0.783448
0.06	0	0	0	0	0	0	-0.783448
0.062	0	0	0	0	0	0	-0.783448
0.064	0	0	0	0	0	0	-0.783448
0.066	0	0	0	0	0	0	-0.783448
0.068	0	0	0	0	0	0	-0.783448
0.07	0	0	0	0	0	0	-0.783448
0.072	0	0	0	0	0	0	-0.783448
0.074	0	0	0	0	0	0	-0.783448
0.076	0	0	0	0	0	0	-0.783448
0.078	0	0	0	0	0	0	-0.783448
0.08	0	0	0	0	0	0	-0.783448
0.082	0	0	0	0	0	0	-0.783448
0.084	0	0	0	0	0	0	-0.783448
0.086	0	0	0	0	0	0	-0.783448
0.088	0	0	0	0	0	0	-0.783448
0.09	0	0	0	0	0	0	-0.783448
0.092	0	0	0	0	0	0	-0.783448
0.094	0	0	0	0	0	0	-0.783448
0.096	0	0	0	0	0	0	-0.783448
0.098	0	0	0	0	0	0	-0.783448
0.1	0	0	0	0	0	0	-0.783448
0.102	0	0	0	0	0	0	-0.783448
0.104	0	0	0	0	0	0	-0.783448
0.106	0	0	0	0	0	0	-0.783448
0.108	0	0	0	0	0	0	-0.783448
0.11	0	0	0	0	0	0	-0.783448
0.112	0	0	0	0	0	0	-0.783448
0.114	0	0	0	0	0	0	-0.783448
0.116	0	0	0	0	0	0	-0.783448
0.118	0	0	0	0	0	0	-0.783448
0.12	0	0	0	0	0	0	-0.783448
0.122	0	0	0	0	0	0	-0.783448
0.124	0	0	0	0	0	0	-0.783448
0.126	0	0	0	0	0	0	-0.783448
0.128	0	0	0	0	0	0	-0.783448
0.13	0	0	0	0	0	0	-0.783448
0.132	0	0	0	0	0	0	-0.783448
0.134	0	0	0	0	0	0	-0.783448
0.136	0	0	0	0	0	0	-0.783448
0.138	0	0	0	0	0	0	-0.783448
0.14	0	0	0	0	0	0	-0.783448
0.142	0	0	0	0	0	0	-0.783448
0.144	0	0	0	0	0	0	-0.783448
0.146	0	0	0	0	0	0	-0.783448
0.148	0	0	0	0	0	0	-0.783448
0.15	0	0	0	0	0	0	-0.783448
0.152	0	0	0	0	0	0	-0.783448
0.154	0	0	0	0	0	0	-0.783448
0.156	0	0	0	0	0	0	-0.783448
0.158	0	0	0	0	0	0	-0.783448
0.16	0	0	0	0	0	0	-0.783448
0.162	0	0	0	0	0	0	-0.783448
0.164	0	0	0	0	0	0	-0.783448
0.166	0	0	0	0	0	0	-0.783448
0.168	0	0	0	0	0	0	-0.783448
0.17	0	0	0	0	0	0	-0.783448
0.172	0	0	0	0	0	0	-0.783448
0.174	0	0	0	0	0	0	-0.783448
0.176	0	0	0	0	0	0	-0.783448
0.178	0	0	0	0	0	0	-0.783448
0.18	0	0	0	0	0	0	-0.783448
0.182	0	0	0	0	0	0	-0.783448
0.184	0	0	0	0	0	0	-0.783448
0.186	0	0	0	0	0	0	-0.783448
0.188	0	0	0	0	0	0	-0.783448
0.19	0	0	0	0	0	0	-0.783448
0.192	0	0	0	0	0	0	-0.783448
0.194	0	0	0	0	0	0	-0.783448
0.196	0	0	0	0	0	0	-0.783448
0.198	0	0	0	0	0	0	-0.783448
0.2	0	0	0	0	0	0	-0.783448
0.202	0	0	0	0	0	0	-0.783448
0.204	0	0	0	0	0	0	-0.783448
0.206	0	0	0	0	0	0	-0.783448
0.208	0	0	0	0	0	0	-0.783448
0.21	0	0	0	0	0	0	-0.783448
0.212	0	0	0	0	0	0	-0.783448
0.214	0	0	0	0	0	0	-0.783448
0.216	0	0	0	0	0	0	-0.783448
0.218	0	0	0	0	0	0	-0.783448
0.22	0	0	0	0	0	0	-0.783448
0.222	0	0	0	0	0	0	-0.783448
0.224	0	0	0	0	0	0	-0.783448
0.226	0	0	0	0	0	0	-0.783448
0.228	0	0	0	0	0	0	-0.783448
0.23	0	0	0	0	0	0	-0.783448
0.232	0	0	0	0	0	0	-0.783448
0.234	0	0	0	0	0	0	-0.783448
0.236	0	0	0	0	0	0	-0.783448
0.238	0	0	0	0	0	0	-0.783448
0.24	0	0	0	0	0	0	-0.783448
0.242	0	0	0	0	0	0	-0.783448
0.244	0	0	0	0	0	0	-0.783448
0.246	0	0	0	0	0	0	-0.783448
0.248	0	0	0	0	0	0	-0.783448
0.25	0	0	0	0	0	0	-0.783448
0.252	0	0	0	0	0	0	-0.783448
0.254	0	0	0	0	0	0	-0.783448
0.256	0	0	0	0	0	0	-0.783448
0.258	0	0	0	0	0	0	-0.783448
0.26	0	0	0	0	0	0	-0.783448
0.262	0	0	0	0	0	0	-0.783448
0.264	0	0	0	0	0	0	-0.783448
0.266	0	0	0	0	0	0	-0.783448
0.268	0	0	0	0	0	0	-0.783448
0.27	0	0	0	0	0	0	-0.783448
0.272	0	0	0	0	0	0	-0.783448
0.274	0	0	0	0	0	0	-0.783448
0.276	0	0	0	0	0	0	-0.783448
0.278	0	0	0	0	0	0	-0.783448
0.28	0	0	0	0	0	0	-0.783448
0.282	0	0	0	0	0	0	-0.783448
0.284	0	0	0	0	0	0	-0.783448
0.286	0	0	0	0	0	0	-0.783448
0.288	0	0	0	0	0	0	-0.783448
0.29	0	0	0	0	0	0	-0.783448
0.292	0	0	0	0	0	0	-0.783448
0.294	0	0	0	0	0	0	-0.783448
0.296	0	0	0	0	0	0	-0.783448
0.298	0	0	0	0	0	0	-0.783448
0.3	0	0	0	0	0	0	-0.783448
0.302	0	0	0	0	0	0	-0.783448
0.304	0	0	0	0	0	0	-0.783448
0.306	0	0	0	0	0	0	-0.783448
0.308	0	0	0	0	0	0	-0.783448
0.31	0	0	0	0	0	0	-0.783448
0.312	0	0	0	0	0	0	-0.783448
0.314	0	0	0	0	0	0	-0.783448
0.316	0	0	0	0	0	0	-0.783448
0.318	0	0	0	0	0	0	-0.783448
0.32	0	0	0	0	0	0	-0.783448
0.322	0	0	0	0	0	0	-0.783448
0.324	0	0	0	0	0	0	-0.783448
0.326	0	0	0	0	0	0	-0.783448
0.328	0	0	0	0	0	0	-0.783448
0.33	0	0	0	0	0	0	-0.783448
0.332	0	0	0	0	0	0	-0.783448
0.334	0	0	0	0	0	0	-0.783448
0.336	0	0	0	0	0	0	-0.783448
0.338	0	0	0	0	0	0	-0.783448
0.34	0	0	0	0	0	0	-0.783448
0.342	0	0	0	0	0	0	-0.783448
0.344	0	0	0	0	0	0	-0.783448
0.346	0	0	0	0	0	0	-0.783448
0.348	0	0	0	0	0	0	-0.783448
0.35	0	0	0	0	0	0	-0.783448
0.352	0	0	0	0	0	0	-0.783448
0.354	0	0	-0.654045	0	0	-0.932591	-0.783448
0.356	0	0	-0.654045	0	0	-0.932591	-0.783448
0.358	0	0	-0.654045	0	0	-0.932591	-0.783448
0.36	0	0	-0.654045	0	0	-0.932591	-0.783448
0.362	0	0	-0.654045	0	0	-0.932591	-0.783448
0.364	0	0	-0.654045	-3.19579e-05	-0.00745438	-0.959569	-0.783448
0.366	-6.39159e-05	-0.0114312	-0.708198	-0.00015979	-0.024984	-1.06471	-0.783448
0.368	-0.000127832	-0.0210072	-0.762871	-0.000287621	-0.0431462	-1.16416	-0.783448
0.37	-0.00015979	-0.0186615	-0.790332	-0.000383495	-0.0453811	-1.23407	-0.783448
0.372	-0.000223706	-0.0248644	-0.845361	-0.000511327	-0.0540278	-1.31991	-0.783448
0.374	-0.000319579	-0.035628	-0.927751	-0.000671117	-0.0660951	-1.81364	-0.783448
0.376	-0.000383495	-0.0339159	-0.982248	-0.000830906	-0.0725328	-1.89053	-0.783448
0.378	-0.000479369	-0.0404568	-1.0628	-0.000990696	-0.0759673	-1.94922	-0.783448
0.38	-0.000575243	-0.0439464	-1.14126	-0.0012144	-0.0927083	-1.9569	-0.783448
